Iteration,Temperature,CurrentCost d198
0,1.4100e+02,34092
1,1.4086e+02,40773
2,1.4072e+02,39279
3,1.4058e+02,42641
4,1.4044e+02,40959
5,1.4030e+02,44379
6,1.4016e+02,45987
7,1.4002e+02,45013
8,1.3988e+02,42601
9,1.3974e+02,42411
10,1.3960e+02,45989
11,1.3946e+02,42396
12,1.3932e+02,44448
13,1.3918e+02,43618
14,1.3904e+02,44308
15,1.3890e+02,45394
16,1.3876e+02,45425
17,1.3862e+02,47021
18,1.3848e+02,47627
19,1.3834e+02,43680
20,1.3821e+02,42276
21,1.3807e+02,42974
22,1.3793e+02,43713
23,1.3779e+02,43082
24,1.3765e+02,40448
25,1.3752e+02,40360
26,1.3738e+02,39676
27,1.3724e+02,42758
28,1.3710e+02,44025
29,1.3697e+02,43915
30,1.3683e+02,43708
31,1.3669e+02,41428
32,1.3656e+02,41620
33,1.3642e+02,42172
34,1.3628e+02,44484
35,1.3615e+02,42880
36,1.3601e+02,40353
37,1.3588e+02,41113
38,1.3574e+02,41427
39,1.3560e+02,39812
40,1.3547e+02,41540
41,1.3533e+02,40177
42,1.3520e+02,38336
43,1.3506e+02,40981
44,1.3493e+02,39708
45,1.3479e+02,41839
46,1.3466e+02,42915
47,1.3452e+02,41312
48,1.3439e+02,41398
49,1.3425e+02,43338
50,1.3412e+02,40565
51,1.3399e+02,43057
52,1.3385e+02,42762
53,1.3372e+02,45750
54,1.3358e+02,41465
55,1.3345e+02,42772
56,1.3332e+02,42604
57,1.3318e+02,40011
58,1.3305e+02,44426
59,1.3292e+02,44428
60,1.3278e+02,40997
61,1.3265e+02,42475
62,1.3252e+02,38051
63,1.3239e+02,40386
64,1.3225e+02,43690
65,1.3212e+02,41851
66,1.3199e+02,38466
67,1.3186e+02,43008
68,1.3173e+02,41818
69,1.3159e+02,44066
70,1.3146e+02,42648
71,1.3133e+02,41772
72,1.3120e+02,39764
73,1.3107e+02,41552
74,1.3094e+02,39142
75,1.3081e+02,40464
76,1.3068e+02,43116
77,1.3055e+02,41305
78,1.3041e+02,41730
79,1.3028e+02,40750
80,1.3015e+02,41786
81,1.3002e+02,42226
82,1.2989e+02,43814
83,1.2976e+02,43164
84,1.2963e+02,40951
85,1.2950e+02,41422
86,1.2938e+02,38556
87,1.2925e+02,42654
88,1.2912e+02,40288
89,1.2899e+02,39710
90,1.2886e+02,40475
91,1.2873e+02,38026
92,1.2860e+02,39088
93,1.2847e+02,39506
94,1.2834e+02,39194
95,1.2822e+02,39148
96,1.2809e+02,37113
97,1.2796e+02,38903
98,1.2783e+02,38633
99,1.2770e+02,42157
100,1.2758e+02,40792
101,1.2745e+02,39227
102,1.2732e+02,40595
103,1.2719e+02,43397
104,1.2707e+02,38812
105,1.2694e+02,39523
106,1.2681e+02,41461
107,1.2669e+02,42671
108,1.2656e+02,41982
109,1.2643e+02,44282
110,1.2631e+02,42922
111,1.2618e+02,42047
112,1.2605e+02,43182
113,1.2593e+02,40622
114,1.2580e+02,40853
115,1.2568e+02,42571
116,1.2555e+02,41967
117,1.2542e+02,41162
118,1.2530e+02,41054
119,1.2517e+02,43200
120,1.2505e+02,42158
121,1.2492e+02,38553
122,1.2480e+02,41774
123,1.2467e+02,39177
124,1.2455e+02,38079
125,1.2442e+02,39532
126,1.2430e+02,39564
127,1.2418e+02,39901
128,1.2405e+02,41551
129,1.2393e+02,39059
130,1.2380e+02,39305
131,1.2368e+02,39934
132,1.2356e+02,40005
133,1.2343e+02,36842
134,1.2331e+02,40642
135,1.2319e+02,39665
136,1.2306e+02,37015
137,1.2294e+02,38308
138,1.2282e+02,37467
139,1.2269e+02,38778
140,1.2257e+02,35974
141,1.2245e+02,37869
142,1.2233e+02,40512
143,1.2220e+02,38381
144,1.2208e+02,37208
145,1.2196e+02,40423
146,1.2184e+02,38939
147,1.2172e+02,41102
148,1.2159e+02,38861
149,1.2147e+02,40677
150,1.2135e+02,38375
151,1.2123e+02,40708
152,1.2111e+02,39926
153,1.2099e+02,39770
154,1.2087e+02,40041
155,1.2075e+02,39073
156,1.2062e+02,37772
157,1.2050e+02,40583
158,1.2038e+02,38740
159,1.2026e+02,39293
160,1.2014e+02,41135
161,1.2002e+02,39908
162,1.1990e+02,40431
163,1.1978e+02,39898
164,1.1966e+02,38605
165,1.1954e+02,41422
166,1.1942e+02,42482
167,1.1930e+02,37015
168,1.1918e+02,37699
169,1.1907e+02,38649
170,1.1895e+02,39649
171,1.1883e+02,41698
172,1.1871e+02,38813
173,1.1859e+02,37992
174,1.1847e+02,37901
175,1.1835e+02,40870
176,1.1823e+02,41523
177,1.1812e+02,39365
178,1.1800e+02,37567
179,1.1788e+02,38802
180,1.1776e+02,38255
181,1.1764e+02,39523
182,1.1753e+02,40314
183,1.1741e+02,38937
184,1.1729e+02,39637
185,1.1717e+02,39462
186,1.1706e+02,38668
187,1.1694e+02,36305
188,1.1682e+02,39686
189,1.1671e+02,40923
190,1.1659e+02,37850
191,1.1647e+02,37476
192,1.1636e+02,36178
193,1.1624e+02,38940
194,1.1612e+02,41365
195,1.1601e+02,41905
196,1.1589e+02,40277
197,1.1578e+02,39040
198,1.1566e+02,38404
199,1.1555e+02,36009
200,1.1543e+02,39623
201,1.1531e+02,37183
202,1.1520e+02,39162
203,1.1508e+02,39610
204,1.1497e+02,38041
205,1.1485e+02,38041
206,1.1474e+02,38177
207,1.1462e+02,37677
208,1.1451e+02,39412
209,1.1439e+02,35680
210,1.1428e+02,37631
211,1.1417e+02,37897
212,1.1405e+02,38243
213,1.1394e+02,38549
214,1.1382e+02,36479
215,1.1371e+02,38278
216,1.1360e+02,38109
217,1.1348e+02,36930
218,1.1337e+02,35749
219,1.1326e+02,37563
220,1.1314e+02,37471
221,1.1303e+02,38329
222,1.1292e+02,39648
223,1.1280e+02,39012
224,1.1269e+02,39886
225,1.1258e+02,37894
226,1.1247e+02,36467
227,1.1235e+02,37983
228,1.1224e+02,37346
229,1.1213e+02,36626
230,1.1202e+02,40440
231,1.1190e+02,39491
232,1.1179e+02,40424
233,1.1168e+02,35452
234,1.1157e+02,39440
235,1.1146e+02,39721
236,1.1135e+02,37005
237,1.1123e+02,38170
238,1.1112e+02,39566
239,1.1101e+02,37108
240,1.1090e+02,35359
241,1.1079e+02,37684
242,1.1068e+02,39226
243,1.1057e+02,36665
244,1.1046e+02,39837
245,1.1035e+02,38850
246,1.1024e+02,36959
247,1.1013e+02,38594
248,1.1002e+02,36273
249,1.0991e+02,37055
250,1.0980e+02,37296
251,1.0969e+02,34840
252,1.0958e+02,36631
253,1.0947e+02,36519
254,1.0936e+02,36227
255,1.0925e+02,37206
256,1.0914e+02,37942
257,1.0903e+02,36584
258,1.0892e+02,35925
259,1.0881e+02,37488
260,1.0870e+02,37592
261,1.0860e+02,37126
262,1.0849e+02,36425
263,1.0838e+02,36249
264,1.0827e+02,37689
265,1.0816e+02,37425
266,1.0805e+02,38488
267,1.0795e+02,38485
268,1.0784e+02,41396
269,1.0773e+02,40076
270,1.0762e+02,40846
271,1.0751e+02,37697
272,1.0741e+02,37625
273,1.0730e+02,35983
274,1.0719e+02,37365
275,1.0708e+02,37897
276,1.0698e+02,37928
277,1.0687e+02,39774
278,1.0676e+02,39703
279,1.0666e+02,37631
280,1.0655e+02,38988
281,1.0644e+02,35104
282,1.0634e+02,35296
283,1.0623e+02,35952
284,1.0613e+02,38036
285,1.0602e+02,37248
286,1.0591e+02,39220
287,1.0581e+02,37809
288,1.0570e+02,38042
289,1.0560e+02,37055
290,1.0549e+02,38715
291,1.0538e+02,37383
292,1.0528e+02,39527
293,1.0517e+02,36255
294,1.0507e+02,38725
295,1.0496e+02,38350
296,1.0486e+02,36691
297,1.0475e+02,36704
298,1.0465e+02,37584
299,1.0454e+02,36851
300,1.0444e+02,35631
301,1.0434e+02,36193
