Iteration,Temperature,CurrentCost ftv170
0,1.3000e+02,22241
1,1.2987e+02,21946
2,1.2974e+02,22153
3,1.2961e+02,22289
4,1.2948e+02,21222
5,1.2935e+02,22258
6,1.2922e+02,21972
7,1.2909e+02,21110
8,1.2896e+02,21409
9,1.2883e+02,21423
10,1.2871e+02,21759
11,1.2858e+02,19788
12,1.2845e+02,20488
13,1.2832e+02,20813
14,1.2819e+02,21429
15,1.2806e+02,20354
16,1.2794e+02,22072
17,1.2781e+02,20185
18,1.2768e+02,20830
19,1.2755e+02,20629
20,1.2742e+02,20723
21,1.2730e+02,21725
22,1.2717e+02,20292
23,1.2704e+02,22810
24,1.2692e+02,20045
25,1.2679e+02,20841
26,1.2666e+02,20412
27,1.2654e+02,21419
28,1.2641e+02,21543
29,1.2628e+02,22467
30,1.2616e+02,20737
31,1.2603e+02,20663
32,1.2590e+02,20616
33,1.2578e+02,20576
34,1.2565e+02,20219
35,1.2553e+02,21171
36,1.2540e+02,21624
37,1.2528e+02,22016
38,1.2515e+02,22739
39,1.2503e+02,21722
40,1.2490e+02,22696
41,1.2478e+02,19949
42,1.2465e+02,21603
43,1.2453e+02,21496
44,1.2440e+02,20629
45,1.2428e+02,22332
46,1.2415e+02,20470
47,1.2403e+02,21225
48,1.2390e+02,21073
49,1.2378e+02,21196
50,1.2366e+02,19783
51,1.2353e+02,19898
52,1.2341e+02,21479
53,1.2329e+02,20089
54,1.2316e+02,21987
55,1.2304e+02,20666
56,1.2292e+02,21058
57,1.2279e+02,20525
58,1.2267e+02,22597
59,1.2255e+02,21220
60,1.2243e+02,21267
61,1.2230e+02,22115
62,1.2218e+02,21272
63,1.2206e+02,21758
64,1.2194e+02,23195
65,1.2181e+02,21262
66,1.2169e+02,20416
67,1.2157e+02,22062
68,1.2145e+02,22340
69,1.2133e+02,21799
70,1.2121e+02,21511
71,1.2109e+02,20875
72,1.2096e+02,19925
73,1.2084e+02,20437
74,1.2072e+02,19871
75,1.2060e+02,22340
76,1.2048e+02,19682
77,1.2036e+02,21718
78,1.2024e+02,19616
79,1.2012e+02,19185
80,1.2000e+02,22266
